1	9	8	7	6	8	3	3	1	4	1	1	1	1	1	2	1	1	1	1
2	8	8	8	5	6	1	2	1	3	1	1	2	2	3	1	5	2	2	1
3	8	7	9	5	7	1	5	1	3	1	1	2	2	3	5	1	1	1	1
4	1	1	9	9	8	7	9	4	9	3	1	2	1	3	7	3	3	1	9
5	2	2	9	9	8	7	7	1	9	2	2	2	1	3	8	2	2	1	9
6	1	1	9	9	9	6	9	4	9	2	2	3	1	3	7	3	1	1	9
7	2	2	1	1	1	1	1	9	1	9	8	1	1	2	5	1	8	8	6
8	2	2	2	2	2	1	1	9	1	9	9	1	9	2	5	1	7	7	6
9	1	1	1	2	2	2	2	9	2	7	7	1	2	2	5	2	8	8	5
10	5	4	5	7	3	1	7	1	1	3	1	8	7	7	3	1	1	9	1
11	5	4	5	7	2	2	8	1	1	1	5	8	7	7	3	2	2	9	5
12	5	5	5	5	4	4	9	1	1	1	5	8	8	8	3	2	2	9	1
13	1	1	4	4	1	1	2	6	3	4	2	2	1	7	7	8	9	9	7
14	1	1	4	4	1	1	3	7	3	4	2	8	1	7	7	9	9	9	8
15	2	2	3	3	1	1	2	6	3	4	2	7	1	7	7	8	8	8	8
